GA,Test
Total Runs,Success Rate,Average Tries,Search Agents,Iterations,Average Time to Find Solution,Average Time Elapsed Per WOA (~Avg Total/Tries)
2000,0.08,9.6,40,50,3.6268977546691894,0.3661777496337891
2000,0.16,8.68,100,20,3.4893548774719236,0.3932539701461792
2100,0.0,10.0,70,30,4.077746524810791,0.3986905336380005
2100,0.04,9.68,210,10,4.780783777236938,0.4809222459793091
2100,0.08,9.64,30,70,3.7915917205810548,0.3839771032333374
2100,0.12,9.32,10,210,3.9780623054504396,0.40901377201080324
2200,0.04,9.84,220,10,5.103387145996094,0.46110395590464276
2200,0.08,9.4,110,20,4.201195621490479,0.4382857084274292
2200,0.12,9.32,20,110,3.9262464427948,0.3710463047027588
2200,0.12,9.36,10,220,4.151901884078979,0.42546825408935546
2300,0.0,10.0,230,10,5.528025512695312,0.5357251167297363
2300,0.04,9.92,10,230,4.604771137237549,0.44641215801239015
2400,0.04,9.68,10,240,4.698387479782104,0.460127592086792
2400,0.04,9.68,240,10,5.617842807769775,0.5677395582199096
2400,0.04,9.72,60,40,4.459201278686524,0.45060219764709475
2400,0.08,9.64,30,80,4.356208457946777,0.438832950592041
2400,0.08,9.72,20,120,4.448147535324097,0.40335662024361746
2400,0.12,9.12,40,60,4.142194385528565,0.4401764631271362
2400,0.16,9.16,80,30,4.291405353546143,0.41590046882629395
2400,0.16,9.16,120,20,4.536711597442627,0.4852088212966919
2500,0.0,10.0,50,50,4.740336084365845,0.4630687475204468
2500,0.04,9.84,10,250,4.999334926605225,0.4796287059783936
2500,0.04,9.92,250,10,6.012969799041748,0.5953751564025879
2600,0.0,10.0,20,130,4.938280925750733,0.47877790927886965
2600,0.04,9.72,130,20,5.341545543670654,0.5315835475921631
2600,0.04,9.88,260,10,6.319512968063354,0.6286274909973144
2600,0.08,9.68,10,260,5.087023448944092,0.4987249612808228
2700,0.0,10.0,10,270,5.451888236999512,0.5183252811431884
2700,0.0,10.0,270,10,6.739924802780151,0.6589970350265503
2700,0.04,9.92,30,90,5.068723850250244,0.4948847532272339
2700,0.08,9.68,90,30,5.158644418716431,0.5236575841903687
2800,0.0,10.0,10,280,5.6850487422943115,0.5388683080673218
2800,0.0,10.0,280,10,7.1027052783966065,0.690975546836853
2800,0.04,9.64,40,70,5.1064637088775635,0.5142832279205323
2800,0.04,9.8,20,140,5.225106801986694,0.5168756246566772
2800,0.04,9.8,140,20,5.837478847503662,0.5822008848190308
2800,0.16,9.12,70,40,4.902642278671265,0.5285952806472778
2900,0.0,10.0,10,290,5.950737886428833,0.5585139274597168
2900,0.0,10.0,290,10,7.453929290771485,0.7250232934951782
3000,0.0,10.0,10,300,6.088307809829712,0.5769655704498291
3000,0.0,10.0,300,10,7.785750045776367,0.7592293500900269
3000,0.08,9.56,100,30,5.748791313171386,0.589082407951355
3000,0.08,9.56,150,20,6.2173326873779295,0.6323177337646484
3000,0.08,9.64,50,60,5.446363658905029,0.5543803215026856
3000,0.12,9.68,20,150,5.403461589813232,0.5541258573532104
3000,0.16,9.0,30,100,5.060476007461548,0.550590181350708
3000,0.16,9.0,60,50,5.15548020362854,0.5628005981445312
