GA,Test
Total Runs,Success Rate,Average Tries,Search Agents,Iterations,Average Time to Find Solution,Average Time Elapsed Per WOA (~Avg Total/Tries)
200,0.0,10.0,10,20,0.3969494104385376,0.039695024490356445
200,0.0,10.0,20,10,0.3759998083114624,0.03755011558532715
300,0.0,10.0,10,30,0.5879273414611816,0.059241533279418945
300,0.0,10.0,30,10,0.5677560567855835,0.05714933872222901
400,0.0,10.0,20,20,0.759742259979248,0.07654805183410644
600,0.0,10.0,20,30,1.1234999895095825,0.1124497652053833
600,0.0,10.0,30,20,1.121998906135559,0.1124990701675415
900,0.0,10.0,30,30,1.7009848356246948,0.17279212474822997
